source_file,gene_level_rows
Loedige2023_transcript_sequences,6687
Perez_supp3_celltype_transcript_sequences,5046
Middleton_DE_only_recomputed_transcript_sequences,4916
Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,3705
Biever2020_dual_location_transcript_sequences,3320
June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences,2668
Tushev2018_isoform_transcript_sequences,2465
Cajigas2012_bulk_transcript_sequences,1168
Shigeoka2016_axon_ribosome_transcript_sequences,1163
Gork2021_bulk_transcript_sequences,1016
Perez_GSE157204_rat_transcript_sequences,967
Ciolli_TableS2_isoforms_transcript_sequences,593
mart_mouse_rat_localization_transcript_sequences,478
Middleton_TableS7_isoDend_transcript_sequences,298
Human_neuronal_localization_all_transcript_sequences,289
Biever2020_bulk_only_not_in_dual_transcript_sequences,202
Mikl2022_isoform_transcript_sequences,170
June2023_strict_axon_ribosome_transcript_sequences,156
