source,Cell_body,Dendrite,Neuropil,Axon,Neurite,Ribosome,Cytoplasm
Tushev2018_isoform,958,0,1824,0,0,0,0
Ciolli_TableS2_isoforms,591,0,0,0,582,0,0
Mikl2022_isoform_reported_3utr,56,0,0,0,480,0,0
Taliaferro2016_NIHMS754332_supplement_2,0,0,0,0,412,0,0
Middleton_TableS7_isoDend,0,298,0,0,0,0,0
AllIsoforms_coordinates,8183,0,0,107,0,0,0
Middleton2019,0,5556,0,0,0,0,0
Gork2021_bulk,751,0,265,0,0,0,0
Perez2021,5460,746,0,0,0,0,0
Cajigas2012_bulk,535,0,633,0,0,0,0
Loedige2023,3524,0,0,0,3163,0,3524
Ouwenga2017_GSE74506,314,0,3391,0,0,466,0
Biever2020,1559,0,824,0,0,1291,0
June2023,641,0,0,1071,0,156,0
Shigeoka2016,0,0,0,1163,0,1163,0
Human_neuronal_localization_all_transcripts,27,10,11,41,19,14,219
BioMart_subcellular_localization,195,130,50,173,78,43,0
