n_rows,n_sources,n_genes,n_species,n_label_sets,sources,genes,label_sets,sequence_length
7,7,1,1,7,Biever2020_dual_location_transcript_sequences;Gork2021_bulk_transcript_sequences;June2023_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences;mart_mouse_rat_localization_transcript_sequences,Ncan,"Axon,Ribosome;Cell_body;Cell_body,Cytoplasm;Neuropil;Neuropil,Ribosome;Ribosome;Synap",7195
7,7,1,1,6,Biever2020_dual_location_transcript_sequences;Gork2021_bulk_transcript_sequences;June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences;Shigeoka2016_axon_ribosome_transcript_sequences,Chl1,"Axon;Axon,Ribosome;Cell_body;Cell_body,Cytoplasm;Cell_body,Neuropil,Ribosome;Synap",8301
6,6,1,1,6,June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences;Shigeoka2016_axon_ribosome_transcript_sequences;mart_mouse_rat_localization_transcript_sequences,Ntrk2,"Axon;Axon,Ribosome;Cell_body;Cell_body,Cytoplasm;Cell_body,Dendrite,Neurite;Synap",9050
6,6,1,1,6,Biever2020_dual_location_transcript_sequences;June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences;Shigeoka2016_axon_ribosome_transcript_sequences,Dst,"Axon;Axon,Ribosome;Cell_body;Cell_body,Ribosome;Neurite;Ribosome,Synap",23251
6,6,1,1,6,Biever2020_dual_location_transcript_sequences;Gork2021_bulk_transcript_sequences;June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences;mart_mouse_rat_localization_transcript_sequences,Shank1,"Axon;Cell_body,Ribosome;Dendrite;Neurite;Neuropil;Ribosome,Synap",9888
6,6,1,1,6,Biever2020_dual_location_transcript_sequences;June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences;Shigeoka2016_axon_ribosome_transcript_sequences,Ptprn2,"Axon;Axon,Ribosome;Cell_body;Cell_body,Cytoplasm;Cell_body,Neuropil,Ribosome;Synap",4218
6,6,1,1,6,Biever2020_dual_location_transcript_sequences;Gork2021_bulk_transcript_sequences;June2023_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Cadm4,"Axon,Ribosome;Cell_body;Cell_body,Cytoplasm;Cell_body,Neuropil,Ribosome;Neuropil;Synap",2225
6,6,1,1,6,Biever2020_dual_location_transcript_sequences;Gork2021_bulk_transcript_sequences;June2023_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,Lgi3,"Axon,Ribosome;Cell_body;Cell_body,Cytoplasm;Cell_body,Ribosome;Neuropil;Synap",8090
6,6,1,1,6,Biever2020_dual_location_transcript_sequences;June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences;Shigeoka2016_axon_ribosome_transcript_sequences,Clstn3,"Axon;Axon,Ribosome;Cell_body;Cell_body,Cytoplasm;Cell_body,Neuropil,Ribosome;Synap",4054
6,6,1,1,6,Biever2020_dual_location_transcript_sequences;June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences;Loedige2023_transcript_sequences;Middleton_DE_only_recomputed_transcript_sequences;Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences;Shigeoka2016_axon_ribosome_transcript_sequences,Kif1a,"Axon;Axon,Ribosome;Cell_body,Neuropil,Ribosome;Dendrite;Neurite;Synap",9265
